Sat Apr 25 17:09:55 EDT 2020
82, 29
21, 2
115, 24
186, 37
180, 4
110, 23
118, 22
190, 39
165, 20
41, 1
47, 22
160, 29
30, 24
86, 52
192, 57
134, 19
26, 19
116, 20
90, 5
144, 33
56, 28
10, 48
Sat Apr 25 17:42:19 EDT 2020
183, 37
32, 51
94, 47
156, 12
166, 21
74, 22
101, 33
157, 17
160, 7
56, 19
116, 2
78, 2
68, 13
118, 2
130, 19
164, 8
194, 12
77, 21
146, 6
20, 22
36, 6
115, 25
181, 49
186, 32
35, 8
113, 8
179, 26
9, 5
191, 2
Sat Apr 25 17:44:24 EDT 2020
37, 7
43, 6
87, 23
110, 6
64, 4
141, 18
51, 2
85, 17
27, 45
59, 15
123, 5
195, 30
190, 14
34, 2
20, 2
141, 23
97, 2
44, 4
156, 4
100, 34
129, 18
55, 49
164, 45
168, 50
176, 4
194, 24
3, 2
106, 23
186, 8
Sat Apr 25 17:46:29 EDT 2020
9, 28
48, 5
157, 55
56, 57
151, 26
76, 4
155, 12
176, 7
109, 29
51, 2
68, 30
71, 4
125, 53
128, 5
40, 18
40, 52
162, 40
105, 33
2, 2
21, 25
121, 30
13, 4
185, 24
95, 16
161, 24
172, 26
Sat Apr 25 17:48:33 EDT 2020
113, 47
181, 10
55, 15
46, 56
52, 34
66, 6
68, 31
83, 57
170, 6
189, 53
18, 6
30, 3
108, 14
146, 7
21, 8
126, 19
55, 22
66, 23
197, 29
42, 6
188, 49
197, 1
51, 41
34, 1
71, 8
130, 57
65, 18
91, 18
165, 26
154, 8
32, 2
32, 23
108, 9
Sat Apr 25 17:50:39 EDT 2020
92, 25
116, 24
152, 13
1, 19
16, 6
64, 25
147, 3
189, 20
95, 1
121, 21
172, 29
180, 2
116, 26
72, 3
76, 2
195, 9
2, 3
28, 7
172, 34
13, 17
34, 20
158, 21
174, 4
188, 1
164, 21
106, 22
153, 4
32, 25
77, 8
61, 19
Sat Apr 25 17:52:47 EDT 2020
18, 7
57, 17
118, 6
170, 2
171, 23
175, 1
25, 5
47, 24
26, 43
172, 11
146, 31
193, 4
77, 8
121, 1
178, 27
178, 17
116, 39
124, 51
148, 48
38, 32
28, 2
42, 32
34, 4
91, 3
168, 45
194, 8
51, 21
147, 43
151, 8
44, 3
185, 24
90, 19
75, 23
185, 13
55, 16
Sat Apr 25 17:54:54 EDT 2020
6, 26
119, 7
46, 22
91, 11
157, 8
80, 34
118, 39
119, 53
127, 5
127, 19
7, 2
130, 5
132, 6
152, 53
178, 57
154, 21
7, 3
44, 24
70, 20
84, 17
195, 28
Sat Apr 25 17:56:11 EDT 2020
172, 19
148, 1
136, 21
28, 12
62, 37
162, 35
66, 10
52, 20
194, 4
194, 10
183, 6
58, 23
170, 44
193, 24
56, 5
48, 19
85, 23
101, 8
187, 6
51, 5
190, 2
92, 47
65, 53
106, 26
157, 55
Sat Apr 25 17:58:16 EDT 2020
72, 41
16, 17
78, 4
184, 7
191, 40
170, 5
148, 25
108, 31
172, 47
150, 6
179, 3
66, 45
118, 47
143, 41
18, 52
39, 46
175, 23
166, 31
173, 2
180, 5
182, 25
130, 8
172, 26
44, 31
131, 29
Sat Apr 25 18:00:20 EDT 2020
142, 55
97, 19
139, 11
170, 23
14, 19
46, 27
1, 17
2, 4
162, 1
6, 26
84, 10
186, 23
194, 45
196, 18
106, 7
112, 32
127, 24
142, 11
195, 45
Sat Apr 25 18:02:23 EDT 2020
6, 8
38, 7
180, 28
6, 13
31, 51
54, 29
158, 18
190, 19
29, 5
120, 51
33, 19
104, 45
63, 22
190, 19
56, 26
167, 27
195, 30
84, 1
36, 31
52, 8
86, 5
162, 21
168, 22
23, 22
4, 26
146, 23
156, 43
36, 6
155, 10
185, 2
Sat Apr 25 18:04:32 EDT 2020
4, 12
132, 1
146, 24
170, 10
186, 53
174, 45
103, 51
56, 26
107, 2
187, 20
15, 31
119, 2
122, 31
166, 17
107, 3
11, 41
84, 3
181, 19
Sat Apr 25 18:06:37 EDT 2020
62, 53
167, 46
172, 54
53, 11
130, 50
189, 56
69, 4
80, 21
191, 2
44, 6
77, 18
116, 25
103, 7
185, 27
24, 4
47, 6
103, 21
169, 7
190, 8
141, 22
181, 29
166, 23
177, 23
189, 30
4, 22
174, 19
31, 8
86, 24
116, 7
147, 4
195, 31
Sat Apr 25 18:08:47 EDT 2020
33, 13
74, 29
71, 20
80, 26
36, 2
82, 7
170, 14
46, 37
6, 46
134, 25
127, 50
36, 2
77, 41
145, 45
196, 51
106, 32
93, 14
Sat Apr 25 18:10:54 EDT 2020
47, 17
167, 8
180, 30
168, 29
174, 34
26, 29
104, 30
154, 43
168, 22
191, 21
81, 19
119, 20
114, 32
185, 17
81, 30
45, 24
46, 22
158, 2
2, 28
6, 42
41, 7
101, 2
86, 15
112, 18
80, 6
86, 27
176, 23
59, 1
67, 19
74, 6
27, 28
5, 28
Sat Apr 25 18:12:56 EDT 2020
92, 30
190, 27
194, 57
56, 17
6, 3
134, 11
187, 4
55, 31
105, 18
158, 31
189, 27
194, 51
49, 11
156, 7
178, 17
52, 45
114, 18
91, 6
82, 37
153, 8
148, 25
158, 21
186, 24
41, 34
43, 17
95, 20
22, 56
97, 5
155, 14
Sat Apr 25 18:15:01 EDT 2020
15, 5
102, 30
60, 24
38, 14
74, 31
113, 19
122, 23
18, 31
57, 25
111, 18
142, 5
78, 23
116, 41
23, 13
9, 8
190, 8
124, 24
117, 19
104, 34
163, 2
66, 53
145, 18
35, 3
98, 25
100, 7
67, 3
68, 20
144, 22
86, 15
123, 23
124, 2
193, 23
Sat Apr 25 18:17:07 EDT 2020
31, 27
92, 27
132, 31
91, 30
76, 3
184, 18
26, 29
117, 23
180, 13
13, 3
168, 54
121, 19
192, 19
75, 12
94, 2
142, 2
176, 10
1, 20
36, 17
77, 29
176, 37
131, 1
138, 7
82, 6
83, 25
Sat Apr 25 18:19:11 EDT 2020
143, 18
167, 5
37, 27
185, 4
94, 46
191, 48
82, 7
90, 22
124, 7
9, 27
106, 22
108, 24
145, 53
23, 3
136, 28
148, 26
92, 5
128, 7
170, 19
193, 21
77, 8
82, 6
95, 17
193, 40
164, 17
177, 24
131, 1
185, 15
192, 7
57, 49
135, 6
190, 18
196, 43
Sat Apr 25 18:21:18 EDT 2020
9, 20
11, 22
117, 4
151, 25
197, 23
107, 4
1, 6
159, 25
186, 41
147, 1
35, 18
64, 53
135, 26
44, 5
62, 18
192, 27
151, 5
114, 53
188, 24
140, 1
29, 19
Sat Apr 25 18:23:12 EDT 2020
82, 2
104, 29
83, 37
180, 20
7, 30
52, 54
162, 15
188, 19
193, 28
96, 25
114, 31
143, 23
42, 25
130, 39
134, 15
37, 24
51, 3
24, 6
116, 20
134, 47
159, 26
186, 32
32, 21
27, 36
Sat Apr 25 18:24:56 EDT 2020
75, 22
174, 19
101, 14
176, 31
15, 18
25, 32
84, 14
56, 17
64, 44
154, 44
31, 4
195, 31
126, 7
165, 21
181, 27
104, 14
178, 27
87, 12
157, 22
193, 31
130, 12
63, 32
103, 23
28, 31
50, 20
3, 50
165, 11
188, 6
Sat Apr 25 18:27:03 EDT 2020
Sat Apr 25 18:27:08 EDT 2020
69, 24
154, 45
186, 18
57, 22
151, 20
72, 17
150, 38
197, 9
155, 13
175, 5
190, 18
125, 56
169, 11
54, 27
85, 2
98, 20
5, 43
72, 44
44, 6
189, 8
3, 21
138, 23
22, 32
68, 8
197, 6
52, 40
53, 22
101, 3
134, 7
137, 24
193, 31
34, 53
94, 19
127, 40
156, 17
124, 17
178, 3
132, 42
Sat Apr 25 18:29:07 EDT 2020
22, 3
103, 23
55, 7
42, 20
44, 10
14, 4
4, 32
154, 14
162, 20
179, 3
104, 24
116, 19
134, 3
158, 53
6, 28
24, 12
1, 3
1, 18
34, 22
57, 6
77, 56
128, 31
192, 57
43, 1
47, 21
67, 8
83, 23
7, 26
74, 37
197, 3
57, 30
102, 6
184, 20
96, 30
176, 6
68, 27
185, 3
132, 19
132, 50
150, 28
28, 3
125, 21
174, 8
176, 6
120, 5
159, 22
Sat Apr 25 18:31:11 EDT 2020
106, 4
38, 22
100, 3
124, 36
45, 22
